18:55:32 | SimpleNotifier | INFO | 📢 분석 완료: 10개 결과
18:55:32 | SimpleNotifier | INFO | 🚀 매수 추천 종목:
18:55:32 | SimpleNotifier | INFO |   1. 015760 종목015760: 82.1점 (BUY)
18:55:32 | SimpleNotifier | INFO |   2. 033780 종목033780: 79.5점 (BUY)
18:55:32 | SimpleNotifier | INFO |   3. 000660 종목000660: 79.4점 (BUY)
18:55:32 | SimpleNotifier | INFO |   4. 036460 종목036460: 77.7점 (BUY)
18:55:32 | SimpleNotifier | INFO |   5. 011780 종목011780: 75.9점 (BUY)
19:54:50 | SimpleNotifier | INFO | 📢 분석 완료: 10개 결과
19:54:50 | SimpleNotifier | INFO | 🚀 매수 추천 종목:
19:54:50 | SimpleNotifier | INFO |   1. 015760 종목015760: 81.3점 (BUY)
19:54:50 | SimpleNotifier | INFO |   2. 000660 종목000660: 78.9점 (BUY)
19:54:50 | SimpleNotifier | INFO |   3. 033780 종목033780: 77.5점 (BUY)
19:54:50 | SimpleNotifier | INFO |   4. 036460 종목036460: 77.5점 (BUY)
19:54:50 | SimpleNotifier | INFO |   5. 030200 종목030200: 77.4점 (BUY)
20:26:18 | SimpleNotifier | INFO | 📢 분석 완료: 10개 결과
20:26:18 | SimpleNotifier | INFO | 🚀 매수 추천 종목:
20:26:18 | SimpleNotifier | INFO |   1. 035250 종목035250: 80.8점 (BUY)
20:26:18 | SimpleNotifier | INFO |   2. 034230 종목034230: 79.7점 (BUY)
20:26:18 | SimpleNotifier | INFO |   3. 033780 종목033780: 79.2점 (BUY)
20:26:18 | SimpleNotifier | INFO |   4. 036460 종목036460: 76.5점 (BUY)
20:26:18 | SimpleNotifier | INFO |   5. 003490 종목003490: 75.0점 (BUY)
20:55:01 | SimpleNotifier | INFO | 📢 분석 완료: 10개 결과
20:55:01 | SimpleNotifier | INFO | 🚀 매수 추천 종목:
20:55:01 | SimpleNotifier | INFO |   1. 035250 종목035250: 79.8점 (BUY)
20:55:01 | SimpleNotifier | INFO |   2. 034230 종목034230: 78.4점 (BUY)
20:55:01 | SimpleNotifier | INFO |   3. 036460 종목036460: 74.5점 (BUY)
20:55:01 | SimpleNotifier | INFO |   4. 033780 종목033780: 73.6점 (BUY)
20:55:01 | SimpleNotifier | INFO |   5. 361610 종목361610: 72.8점 (BUY)
06:17:28 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
07:34:59 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
07:55:25 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
12:53:11 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
12:55:31 | SimpleNotifier | INFO | 📢 분석 완료: 7개, 매수 신호: 7개
13:09:49 | SimpleNotifier | INFO | 📢 분석 완료: 9개, 매수 신호: 9개
13:23:34 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
15:46:55 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
16:08:37 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
16:19:36 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
09:15:32 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
09:39:40 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
09:45:49 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
09:46:47 | SimpleNotifier | INFO | 📢 분석 완료: 3개, 매수 신호: 3개
09:54:54 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
09:56:50 | SimpleNotifier | INFO | 📢 분석 완료: 1개, 매수 신호: 1개
10:02:53 | SimpleNotifier | INFO | 📢 분석 완료: 1개, 매수 신호: 1개
10:41:22 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
10:42:31 | SimpleNotifier | INFO | 📢 분석 완료: 4개, 매수 신호: 4개
11:26:12 | SimpleNotifier | INFO | 📢 분석 완료: 4개, 매수 신호: 4개
11:30:04 | SimpleNotifier | INFO | 📢 분석 완료: 4개, 매수 신호: 4개
11:35:36 | SimpleNotifier | INFO | 📢 분석 완료: 5개, 매수 신호: 5개
11:54:19 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
12:10:12 | SimpleNotifier | INFO | 📢 분석 완료: 2개, 매수 신호: 2개
12:32:58 | SimpleNotifier | INFO | 📢 분석 완료: 3개, 매수 신호: 3개
12:34:09 | SimpleNotifier | INFO | 📢 분석 완료: 3개, 매수 신호: 3개
13:49:47 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
14:16:21 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
05:35:45 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
15:15:21 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
15:35:22 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
15:52:53 | SimpleNotifier | INFO | 📢 분석 완료: 1개, 매수 신호: 1개
15:54:51 | SimpleNotifier | INFO | 📢 분석 완료: 1개, 매수 신호: 1개
16:52:25 | SimpleNotifier | INFO | 📢 분석 완료: 4개, 매수 신호: 4개
16:53:40 | SimpleNotifier | INFO | 📢 분석 완료: 3개, 매수 신호: 3개
16:57:16 | SimpleNotifier | INFO | 📢 분석 완료: 4개, 매수 신호: 4개
06:00:36 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
06:26:51 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
10:23:54 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
15:57:28 | SimpleNotifier | INFO | 📢 분석 완료: 10개, 매수 신호: 10개
