2025-07-05 06:42:26 | TradingSystem | INFO     | _initialize_system | 🚀 트레이딩 시스템 초기화 완료
2025-07-05 06:42:26 | TradingSystem | INFO     | _initialize_system |    매매 모드: 비활성화
2025-07-05 06:42:26 | TradingSystem | INFO     | _initialize_system |    백테스트: 비활성화
2025-07-05 06:42:29 | KISCollector | INFO     | initialize      | 🔌 KIS API 연결 초기화 중...
2025-07-05 06:42:29 | KISCollector | INFO     | _get_access_token | 🔑 새 액세스 토큰 발급 시도...
2025-07-05 06:42:32 | KISCollector | INFO     | _save_token_to_file | 💾 토큰 정보 저장 완료
2025-07-05 06:42:32 | KISCollector | INFO     | _get_access_token | ✅ 새 액세스 토큰 발급 성공
2025-07-05 06:42:32 | KISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-05 06:42:33 | AnalysisEngine | INFO     | __init__        | ✅ 뉴스 수집기 초기화 완료
2025-07-05 06:42:33 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 06:42:33 | TechnicalAnalyzer | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 06:42:33 | TechnicalAnalyzer | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 06:42:33 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-05 06:42:33 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 06:42:33 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 06:42:33 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 06:42:33 | MomentumStrategy | INFO     | __init__        | 📈 모멘텀 전략 초기화 완료
2025-07-05 06:42:33 | TradingSystem | INFO     | _initialize_strategies | ✅ 전략 초기화 완료: ['momentum']
2025-07-05 06:42:33 | TradingSystem | INFO     | initialize_components | ✅ 모든 컴포넌트 초기화 완료
2025-07-05 06:42:45 | TradingSystem | INFO     | run_market_analysis | 📊 전체 시장 분석 시작 (전략: momentum, 전체 종목 필터링)
2025-07-05 06:42:45 | KISCollector | INFO     | get_filtered_stocks | 🔍 종목 필터링 시작 (목표: None개)
2025-07-05 06:42:45 | KISCollector | INFO     | get_filtered_stocks_pykrx | 🔍 pykrx 기반 종목 필터링 시작 (목표: None개)
2025-07-05 06:42:47 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📅 데이터 기준일: 20250704
2025-07-05 06:42:47 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📊 KOSPI 시장 필터링 중...
2025-07-05 06:42:51 | KISCollector | INFO     | get_filtered_stocks_pykrx | ✅ KOSPI 필터링 완료: 829개 종목
2025-07-05 06:42:51 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📊 KOSDAQ 시장 필터링 중...
2025-07-05 06:42:52 | KISCollector | INFO     | get_filtered_stocks_pykrx | ✅ KOSDAQ 필터링 완료: 1447개 종목
2025-07-05 06:42:52 | KISCollector | ERROR    | get_filtered_stocks_pykrx | ❌ pykrx 필터링 실패: '>' not supported between instances of 'int' and 'NoneType'
2025-07-05 06:42:52 | KISCollector | WARNING  | get_filtered_stocks | ⚠️ pykrx 방식 실패: '>' not supported between instances of 'int' and 'NoneType'
2025-07-05 06:42:52 | KISCollector | INFO     | get_filtered_stocks | 🔍 KIS API 기반 필터링 시작
2025-07-05 06:42:52 | KISCollector | INFO     | get_stock_list  | 📋 상장 종목 리스트 조회 중...
2025-07-05 06:42:52 | KISCollector | INFO     | get_stock_list  | 🔍 pykrx 라이브러리 시도...
2025-07-05 06:42:52 | KISCollector | INFO     | _get_stock_list_pykrx | ✅ pykrx 라이브러리 로드 성공
2025-07-05 06:42:52 | KISCollector | INFO     | _get_stock_list_pykrx | 📅 조회 기준일: 20250705
2025-07-05 06:42:52 | KISCollector | INFO     | _get_stock_list_pykrx | 📊 pykrx - KOSPI 종목 조회 중...
2025-07-05 06:42:52 | KISCollector | INFO     | _get_stock_list_pykrx | ✅ pykrx - KOSPI 종목 962개 조회 완료
2025-07-05 06:42:52 | KISCollector | INFO     | _get_stock_list_pykrx | 📊 pykrx - KOSDAQ 종목 조회 중...
2025-07-05 06:42:52 | KISCollector | INFO     | _get_stock_list_pykrx | ✅ pykrx - KOSDAQ 종목 1798개 조회 완료
2025-07-05 06:42:52 | KISCollector | INFO     | _get_stock_list_pykrx | 📊 pykrx - 총 2760개 종목 조회 완료
2025-07-05 06:42:52 | KISCollector | INFO     | get_stock_list  | ✅ pykrx로 2760개 종목 조회 성공!
2025-07-05 06:42:52 | KISCollector | INFO     | get_filtered_stocks | 📊 전체 종목 수: 2760개
2025-07-05 06:42:52 | KISCollector | INFO     | get_filtered_stocks | 🎯 샘플링: 300개 종목 검사
2025-07-05 06:42:52 | KISCollector | ERROR    | get_filtered_stocks | ❌ KIS API 필터링 실패: '>=' not supported between instances of 'int' and 'NoneType'
