2025-08-07 05:55:42 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-07 05:55:47 | Main         | INFO     | main            | 설정 초기화 완료
2025-08-07 05:55:47 | Main         | INFO     | main            | ✅ TradingSystem 임포트 성공
2025-08-07 05:55:47 | Main         | INFO     | main            | 컴포넌트 초기화 중...
2025-08-07 05:55:48 | KISCollector | INFO     | __init__        | KISCollector initialized (virtual: True)
2025-08-07 05:55:48 | KISCollector | INFO     | initialize      | Initializing KIS API collector...
2025-08-07 05:55:48 | KISCollector | INFO     | load_cached_token | Using cached token (expires in 9:20:04.114521)
2025-08-07 05:55:50 | KISCollector | INFO     | _test_connection | API connection test successful
2025-08-07 05:55:50 | KISCollector | INFO     | initialize      | KIS API collector initialized successfully
2025-08-07 05:55:51 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-07 05:55:54 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-07 05:55:54 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-07 05:55:54 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-07 05:55:56 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-07 05:55:56 | Strategy_BreakoutStrategy | INFO     | __init__        | 📈 돌파 매매 전략 초기화 완료
2025-08-07 05:55:56 | Strategy_EodStrategy | INFO     | __init__        | 📈 EOD 전략 초기화 완료
2025-08-07 05:55:56 | Strategy_VwapStrategy | INFO     | __init__        | 📈 VWAP 전략 초기화 완료
2025-08-07 05:55:56 | Strategy_Scalping3mStrategy | INFO     | __init__        | ✅ 3분봉 스캘핑 전략 초기화 완료
2025-08-07 05:55:56 | Strategy_RsiStrategy | INFO     | __init__        | ✅ RSI 전략 초기화 완료
2025-08-07 05:55:56 | TradingScheduler | INFO     | __init__        | ✅ TradingScheduler 초기화 완료
2025-08-07 05:55:59 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-07 05:55:59 | AIPredictor  | INFO     | __init__        | ✅ AI 예측 분석기 초기화 완료
2025-08-07 05:56:01 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-07 05:56:01 | AIRiskManager | INFO     | __init__        | ✅ AI 리스크 관리자 초기화 완료
2025-08-07 05:56:03 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-07 05:56:03 | MarketRegimeDetector | INFO     | __init__        | ✅ 시장 체제 감지기 초기화 완료
2025-08-07 05:56:06 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-07 05:56:06 | StrategyOptimizer | INFO     | __init__        | ✅ 전략 최적화 엔진 초기화 완료
2025-08-07 05:56:06 | AIController | INFO     | __init__        | ✅ AI 통합 컨트롤러 초기화 완료
2025-08-07 05:56:06 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-07 05:56:06 | TradingExecutor | INFO     | __init__        | ✅ TradingExecutor 초기화 완료 (매매 비활성화)
2025-08-07 05:56:06 | PositionManager | INFO     | __init__        | ✅ PositionManager 초기화 완료
2025-08-07 05:56:06 | RiskManager  | INFO     | __init__        | ✅ RiskManager 초기화 완료
2025-08-07 05:56:08 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-07 05:56:08 | TelegramNotifier | INFO     | __init__        | ✅ 텔레그램 알림기 초기화 완료
2025-08-07 05:56:08 | NotificationManager | INFO     | __init__        | ✅ 알림 관리자 초기화 완료
2025-08-07 05:56:08 | NotificationManager | INFO     | start_event_processing | 🟢 이벤트 처리 시작
2025-08-07 05:56:13 | Main         | INFO     | main            | ✅ 컴포넌트 초기화 완료!
2025-08-07 05:56:23 | DatabaseOperations | WARNING  | wrapper         | ⚠️ DB 연결 재시도 (1/3): ConnectionDoesNotExistError: connection was closed in the middle of operation
2025-08-07 05:56:24 | DatabaseOperations | WARNING  | wrapper         | ⚠️ DB 연결 재시도 (2/3): ConnectionDoesNotExistError: connection was closed in the middle of operation
2025-08-07 05:56:26 | DatabaseOperations | ERROR    | wrapper         | ❌ DB 연결 최종 실패 (3회 시도): ConnectionDoesNotExistError: connection was closed in the middle of operation
2025-08-07 05:56:26 | DatabaseOperations | WARNING  | wrapper         | 🔄 DB 연결 문제로 인해 기본값 반환: None
2025-08-07 05:56:26 | KISCollector | WARNING  | get_stocks_by_condition | PyKis not available for HTS conditions
2025-08-07 05:56:26 | DatabaseOperations | WARNING  | wrapper         | ⚠️ DB 연결 재시도 (1/3): ConnectionDoesNotExistError: connection was closed in the middle of operation
2025-08-07 05:56:27 | DatabaseOperations | WARNING  | wrapper         | ⚠️ DB 연결 재시도 (2/3): ConnectionDoesNotExistError: connection was closed in the middle of operation
2025-08-07 05:56:30 | DatabaseOperations | ERROR    | wrapper         | ❌ DB 연결 최종 실패 (3회 시도): ConnectionDoesNotExistError: connection was closed in the middle of operation
2025-08-07 05:56:30 | DatabaseOperations | WARNING  | wrapper         | 🔄 DB 연결 문제로 인해 기본값 반환: None
2025-08-07 05:56:30 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 0): connection was closed in the middle of operation
2025-08-07 05:56:30 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 1): connection was closed in the middle of operation
2025-08-07 05:56:30 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 2): connection was closed in the middle of operation
2025-08-07 05:56:30 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 3): connection was closed in the middle of operation
2025-08-07 05:56:30 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 4): connection was closed in the middle of operation
2025-08-07 05:56:30 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 5): connection was closed in the middle of operation
2025-08-07 05:56:31 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 6): connection was closed in the middle of operation
2025-08-07 05:56:31 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 7): connection was closed in the middle of operation
2025-08-07 05:56:31 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 8): connection was closed in the middle of operation
2025-08-07 05:56:31 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 9): connection was closed in the middle of operation
2025-08-07 05:56:31 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 10): connection was closed in the middle of operation
2025-08-07 05:56:31 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 11): connection was closed in the middle of operation
2025-08-07 05:56:31 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 12): connection was closed in the middle of operation
2025-08-07 05:56:32 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 13): connection was closed in the middle of operation
2025-08-07 05:56:32 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 14): connection was closed in the middle of operation
2025-08-07 05:56:32 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 15): connection was closed in the middle of operation
2025-08-07 05:56:32 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 16): connection was closed in the middle of operation
2025-08-07 05:56:32 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 17): connection was closed in the middle of operation
2025-08-07 05:56:32 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 18): connection was closed in the middle of operation
2025-08-07 05:56:32 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 19): connection was closed in the middle of operation
2025-08-07 05:56:33 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-07 05:56:33 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 20): connection was closed in the middle of operation
2025-08-07 05:56:33 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 21): connection was closed in the middle of operation
2025-08-07 05:56:33 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 22): connection was closed in the middle of operation
2025-08-07 05:56:33 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 23): connection was closed in the middle of operation
2025-08-07 05:56:33 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 24): connection was closed in the middle of operation
2025-08-07 05:56:33 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 25): connection was closed in the middle of operation
2025-08-07 05:56:34 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 26): connection was closed in the middle of operation
2025-08-07 05:56:34 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 27): connection was closed in the middle of operation
2025-08-07 05:56:34 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 28): connection was closed in the middle of operation
2025-08-07 05:56:34 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 29): connection was closed in the middle of operation
2025-08-07 05:56:34 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 30): connection was closed in the middle of operation
2025-08-07 05:56:34 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 31): connection was closed in the middle of operation
2025-08-07 05:56:34 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 32): connection was closed in the middle of operation
2025-08-07 05:56:34 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 33): connection was closed in the middle of operation
2025-08-07 05:56:35 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 34): connection was closed in the middle of operation
2025-08-07 05:56:35 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 35): connection was closed in the middle of operation
2025-08-07 05:56:35 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 36): connection was closed in the middle of operation
2025-08-07 05:56:35 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 37): connection was closed in the middle of operation
2025-08-07 05:56:35 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 38): connection was closed in the middle of operation
2025-08-07 05:56:35 | DatabaseOperations | ERROR    | get_analysis_result_by_filtered_stock_id | ❌ 분석 결과 조회 실패 (FilteredStock ID: 39): connection was closed in the middle of operation
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 005930(삼성전자) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 000660(SK하이닉스) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 035420(NAVER) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 005380(현대차) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 051910(LG화학) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 028260(삼성물산) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 006400(삼성SDI) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 000270(기아) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 068270(셀트리온) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 105560(KB금융) 종합 분석 시작...
2025-08-07 05:56:36 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 055550(신한지주) 종합 분석 시작...
