2025-08-09 06:14:11 | KISCollector | WARNING  | __init__        | PyKis API 초기화 실패: id를 입력해야 합니다.
2025-08-09 06:14:11 | KISCollector | INFO     | __init__        | KISCollector 초기화 완료 (virtual: True)
2025-08-09 06:14:11 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-09 06:14:13 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:16:10 | KISCollector | WARNING  | __init__        | PyKis API 초기화 실패: id를 입력해야 합니다.
2025-08-09 06:16:10 | KISCollector | INFO     | __init__        | KISCollector 초기화 완료 (virtual: True)
2025-08-09 06:16:10 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-09 06:17:34 | Main         | INFO     | main            | 설정 초기화 완료
2025-08-09 06:17:35 | Main         | INFO     | main            | [PASS] TradingSystem 임포트 성공
2025-08-09 06:17:35 | Main         | INFO     | main            | 컴포넌트 초기화 중...
2025-08-09 06:17:35 | KISCollector | WARNING  | __init__        | PyKis API 초기화 실패: id를 입력해야 합니다.
2025-08-09 06:17:35 | KISCollector | INFO     | __init__        | KISCollector 초기화 완료 (virtual: True)
2025-08-09 06:17:35 | KISCollector | INFO     | initialize      | 🚀 KIS API collector 초기화 중...
2025-08-09 06:17:35 | KISCollector | INFO     | request_new_token | 🔑 새 액세스 토큰 요청 중...
2025-08-09 06:17:37 | KISCollector | INFO     | request_new_token | ✅ 새 액세스 토큰 획득 완료 (만료: 2025-08-10 06:07:37.567971)
2025-08-09 06:17:37 | KISCollector | INFO     | initialize      | ✅ KIS API collector 초기화 성공
2025-08-09 06:17:37 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-09 06:17:40 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:17:40 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-09 06:17:40 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-09 06:17:42 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:17:42 | Strategy_BreakoutStrategy | INFO     | __init__        | 📈 돌파 매매 전략 초기화 완료
2025-08-09 06:17:42 | Strategy_EodStrategy | INFO     | __init__        | 📈 EOD 전략 초기화 완료
2025-08-09 06:17:42 | Strategy_VwapStrategy | INFO     | __init__        | 📈 VWAP 전략 초기화 완료
2025-08-09 06:17:42 | Strategy_Scalping3mStrategy | INFO     | __init__        | ✅ 3분봉 스캘핑 전략 초기화 완료
2025-08-09 06:17:42 | Strategy_RsiStrategy | INFO     | __init__        | ✅ RSI 전략 초기화 완료
2025-08-09 06:17:42 | TradingScheduler | INFO     | __init__        | ✅ TradingScheduler 초기화 완료
2025-08-09 06:17:44 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:17:44 | AIPredictor  | INFO     | __init__        | ✅ AI 예측 분석기 초기화 완료
2025-08-09 06:17:47 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:17:47 | AIRiskManager | INFO     | __init__        | ✅ AI 리스크 관리자 초기화 완료
2025-08-09 06:17:49 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:17:49 | MarketRegimeDetector | INFO     | __init__        | ✅ 시장 체제 감지기 초기화 완료
2025-08-09 06:17:51 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:17:51 | StrategyOptimizer | INFO     | __init__        | ✅ 전략 최적화 엔진 초기화 완료
2025-08-09 06:17:51 | AIController | INFO     | __init__        | ✅ AI 통합 컨트롤러 초기화 완료
2025-08-09 06:17:51 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-09 06:17:51 | TradingExecutor | INFO     | __init__        | ✅ TradingExecutor 초기화 완료 (매매 비활성화)
2025-08-09 06:17:51 | PositionManager | INFO     | __init__        | ✅ PositionManager 초기화 완료
2025-08-09 06:17:51 | RiskManager  | INFO     | __init__        | ✅ RiskManager 초기화 완료
2025-08-09 06:17:53 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:17:53 | TelegramNotifier | INFO     | __init__        | ✅ 텔레그램 알림기 초기화 완료
2025-08-09 06:17:53 | NotificationManager | INFO     | __init__        | ✅ 알림 관리자 초기화 완료
2025-08-09 06:17:53 | NotificationManager | INFO     | start_event_processing | 🟢 이벤트 처리 시작
2025-08-09 06:17:54 | Main         | INFO     | main            | [PASS] 컴포넌트 초기화 완료!
2025-08-09 06:19:16 | KISCollector | WARNING  | __init__        | PyKis API 초기화 실패: id를 입력해야 합니다.
2025-08-09 06:19:16 | KISCollector | INFO     | __init__        | KISCollector 초기화 완료 (virtual: True)
2025-08-09 06:19:16 | KISCollector | INFO     | initialize      | 🚀 KIS API collector 초기화 중...
2025-08-09 06:19:16 | KISCollector | INFO     | request_new_token | 🔑 새 액세스 토큰 요청 중...
2025-08-09 06:19:17 | KISCollector | INFO     | request_new_token | ✅ 새 액세스 토큰 획득 완료 (만료: 2025-08-10 06:09:17.127244)
2025-08-09 06:19:17 | KISCollector | INFO     | initialize      | ✅ KIS API collector 초기화 성공
2025-08-09 06:19:17 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-09 06:19:19 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:19:19 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-09 06:19:19 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-09 06:19:22 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:19:22 | Strategy_BreakoutStrategy | INFO     | __init__        | 📈 돌파 매매 전략 초기화 완료
2025-08-09 06:19:22 | Strategy_EodStrategy | INFO     | __init__        | 📈 EOD 전략 초기화 완료
2025-08-09 06:19:22 | Strategy_VwapStrategy | INFO     | __init__        | 📈 VWAP 전략 초기화 완료
2025-08-09 06:19:22 | Strategy_Scalping3mStrategy | INFO     | __init__        | ✅ 3분봉 스캘핑 전략 초기화 완료
2025-08-09 06:19:22 | Strategy_RsiStrategy | INFO     | __init__        | ✅ RSI 전략 초기화 완료
2025-08-09 06:19:22 | TradingScheduler | INFO     | __init__        | ✅ TradingScheduler 초기화 완료
2025-08-09 06:19:24 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:19:24 | AIPredictor  | INFO     | __init__        | ✅ AI 예측 분석기 초기화 완료
2025-08-09 06:19:26 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:19:26 | AIRiskManager | INFO     | __init__        | ✅ AI 리스크 관리자 초기화 완료
2025-08-09 06:19:29 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:19:29 | MarketRegimeDetector | INFO     | __init__        | ✅ 시장 체제 감지기 초기화 완료
2025-08-09 06:19:31 | GeminiAnalyzer | INFO     | __init__        | ✅ Gemini CLI 초기화 완료
2025-08-09 06:19:31 | StrategyOptimizer | INFO     | __init__        | ✅ 전략 최적화 엔진 초기화 완료
2025-08-09 06:19:31 | AIController | INFO     | __init__        | ✅ AI 통합 컨트롤러 초기화 완료
2025-08-09 06:19:31 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
