2025-07-03 14:25:02 | Main         | ERROR    | interactive_mode | ❌ 작업 실패
2025-07-03 20:24:34 | KISCollector | ERROR    | get_filtered_stocks | ❌ 필터링 조건을 만족하는 종목이 없습니다.
2025-07-03 20:37:35 | KISCollector | ERROR    | debug_filtering_process | ❌ 모든 테스트 종목이 필터링에서 탈락 - 조건이 너무 엄격함
2025-07-03 20:37:48 | KISCollector | ERROR    | debug_filtering_process | ❌ 모든 테스트 종목이 필터링에서 탈락 - 조건이 너무 엄격함
2025-07-03 20:44:25 | TradingSystem | ERROR    | analyze_symbol  | ❌ 383220 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:25 | TradingSystem | ERROR    | analyze_symbol  | ❌ 010060 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:25 | TradingSystem | ERROR    | analyze_symbol  | ❌ 066570 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:25 | TradingSystem | ERROR    | analyze_symbol  | ❌ 009420 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:25 | TradingSystem | ERROR    | analyze_symbol  | ❌ 008930 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 015760 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 280360 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 122870 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 004170 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 192400 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 462870 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
2025-07-03 20:44:26 | TradingSystem | ERROR    | analyze_symbol  | ❌ 082640 분석 실패: 'KISCollector' object has no attribute 'get_stock_data'
