2025-07-05 06:42:52 | KISCollector | ERROR    | get_filtered_stocks_pykrx | ❌ pykrx 필터링 실패: '>' not supported between instances of 'int' and 'NoneType'
2025-07-05 06:42:52 | KISCollector | ERROR    | get_filtered_stocks | ❌ KIS API 필터링 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 06:42:52 | KISCollector | ERROR    | get_filtered_stocks | ❌ 모든 필터링 방식 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 07:27:13 | KISCollector | ERROR    | _get_access_token | ❌ 액세스 토큰 발급 실패: 403, {"error_description":"접근토큰 발급 잠시 후 다시 시도하세요(1분당 1회)","error_code":"EGW00133"}
2025-07-05 07:35:09 | KISCollector | ERROR    | _get_access_token | ❌ 액세스 토큰 발급 실패: 403, {"error_description":"접근토큰 발급 잠시 후 다시 시도하세요(1분당 1회)","error_code":"EGW00133"}
2025-07-05 08:15:39 | KISCollector | ERROR    | get_filtered_stocks_pykrx | ❌ pykrx 필터링 실패: '>' not supported between instances of 'int' and 'NoneType'
2025-07-05 08:15:40 | KISCollector | ERROR    | get_filtered_stocks | ❌ 종목 필터링 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 08:15:40 | TradingSystem | ERROR    | run_market_analysis | ❌ 시장 분석 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 08:39:59 | TradingSystem | ERROR    | initialize_components | ❌ 컴포넌트 초기화 실패: unexpected indent (kis_collector.py, line 733)
2025-07-05 08:50:23 | TradingSystem | ERROR    | run_market_analysis | ❌ 시장 분석 실패: 'KISCollector' object has no attribute 'get_filtered_stocks'
2025-07-05 08:52:46 | TradingSystem | ERROR    | run_market_analysis | ❌ 시장 분석 실패: 'KISCollector' object has no attribute 'get_filtered_stocks'
2025-07-05 09:21:41 | KISCollector | ERROR    | collect_filtered_stocks | ❌ 필터링된 종목 수집 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:21:41 | KISCollector | ERROR    | _direct_filtering | ❌ 직접 필터링 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:21:42 | KISCollector | ERROR    | _get_major_stocks_as_fallback | ❌ fallback 실패: '<' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:33:11 | KISCollector | ERROR    | collect_filtered_stocks | ❌ 필터링된 종목 수집 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:33:12 | KISCollector | ERROR    | _direct_filtering | ❌ 직접 필터링 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:33:13 | KISCollector | ERROR    | _get_major_stocks_as_fallback | ❌ fallback 실패: '<' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:38:30 | KISCollector | ERROR    | collect_filtered_stocks | ❌ 필터링된 종목 수집 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:38:30 | KISCollector | ERROR    | _direct_filtering | ❌ 직접 필터링 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:38:31 | KISCollector | ERROR    | _get_major_stocks_as_fallback | ❌ fallback 실패: '<' not supported between instances of 'int' and 'NoneType'
2025-07-05 09:41:34 | TradingSystem | ERROR    | analyze_symbol  | ❌ 214450 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:41:43 | TradingSystem | ERROR    | analyze_symbol  | ❌ 329180 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:41:51 | TradingSystem | ERROR    | analyze_symbol  | ❌ 373220 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:42:00 | TradingSystem | ERROR    | analyze_symbol  | ❌ 018670 분석 실패: 'dict' object has no attribute 'symbol'
2025-07-05 09:42:10 | TradingSystem | ERROR    | analyze_symbol  | ❌ 010120 분석 실패: 'dict' object has no attribute 'symbol'
