2025-07-19 06:47:58 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 058470 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:48:06 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 008930 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:48:15 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 375500 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:48:24 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 328130 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:48:33 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 086520 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:48:42 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 006040 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:48:51 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 253450 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:49:00 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 101490 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:49:09 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 302440 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:49:18 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 000990 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:49:27 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 112610 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:49:36 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 161390 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 06:49:45 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 009240 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:04:59 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 058470 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:05:07 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 008930 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:05:16 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 375500 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
2025-07-19 07:05:25 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 328130 종합 분석 실패: AnalysisEngine._calculate_enhanced_confidence() missing 1 required positional argument: 'chart_pattern'
