18:01:46 | TradingSystem | INFO | ✅ TradingSystem 로거 초기화 완료
18:01:48 | TradingSystem | INFO | 📊 전체 시장 분석 시작 (전략: momentum, 전체 종목 필터링)
18:01:48 | TradingSystem | INFO | 🚀 시스템 컴포넌트 초기화 시작...
18:01:48 | TradingSystem | INFO | ✅ 설정 로드 완료
18:01:48 | TradingSystem | INFO | ✅ 데이터 수집기 초기화 완료
18:01:49 | TradingSystem | INFO | ✅ 분석 엔진 초기화 완료
18:01:49 | TradingSystem | INFO | ✅ 뉴스 수집기 초기화 완료
18:01:49 | TradingSystem | INFO | ✅ 모멘텀 전략 초기화 완료
18:01:49 | TradingSystem | INFO | 🔧 지원 컴포넌트 초기화 중...
18:01:49 | TradingSystem | INFO | ✅ 데이터베이스 매니저 초기화 완료
18:01:49 | TradingSystem | INFO | ✅ 간단 알림 서비스 초기화 완료
18:01:49 | TradingSystem | INFO | ✅ 메뉴 핸들러 초기화 완료
18:01:49 | TradingSystem | INFO | ✅ 모든 컴포넌트 초기화 완료
18:02:56 | TradingSystem | INFO |    필터링 결과: 50개 종목
18:02:56 | TradingSystem | INFO | 🔬 043710 (서울리거) 분석 시작...
18:02:56 | TradingSystem | WARNING | ⚠️ 043710 데이터 수집 실패
18:02:56 | TradingSystem | INFO | ❌ 043710 분석 결과 없음
18:02:56 | TradingSystem | INFO | 🔬 161890 (한국콜마) 분석 시작...
18:02:56 | TradingSystem | WARNING | ⚠️ 161890 데이터 수집 실패
18:02:56 | TradingSystem | INFO | ❌ 161890 분석 결과 없음
18:02:56 | TradingSystem | INFO | 🔬 001200 (유진투자증권) 분석 시작...
18:02:56 | TradingSystem | WARNING | ⚠️ 001200 데이터 수집 실패
18:02:56 | TradingSystem | INFO | ❌ 001200 분석 결과 없음
18:02:56 | TradingSystem | INFO | 🔬 023600 (삼보판지) 분석 시작...
18:02:56 | TradingSystem | WARNING | ⚠️ 023600 데이터 수집 실패
18:02:56 | TradingSystem | INFO | ❌ 023600 분석 결과 없음
18:02:56 | TradingSystem | INFO | 🔬 189980 (흥국에프엔비) 분석 시작...
18:02:56 | TradingSystem | WARNING | ⚠️ 189980 데이터 수집 실패
18:02:56 | TradingSystem | INFO | ❌ 189980 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 219750 (한국비티비) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 219750 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 219750 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 008500 (일정실업) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 008500 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 008500 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 131290 (티에스이) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 131290 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 131290 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 332570 (PS일렉트로닉스) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 332570 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 332570 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 189690 (포시에스) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 189690 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 189690 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 101170 (우림피티에스) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 101170 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 101170 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 281740 (레이크머티리얼즈) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 281740 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 281740 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 142280 (녹십자엠에스) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 142280 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 142280 분석 결과 없음
18:02:57 | TradingSystem | INFO | 🔬 141080 (리가켐바이오) 분석 시작...
18:02:57 | TradingSystem | WARNING | ⚠️ 141080 데이터 수집 실패
18:02:57 | TradingSystem | INFO | ❌ 141080 분석 결과 없음
18:02:58 | TradingSystem | INFO | 🔬 043260 (성호전자) 분석 시작...
18:02:58 | TradingSystem | WARNING | ⚠️ 043260 데이터 수집 실패
18:02:58 | TradingSystem | INFO | ❌ 043260 분석 결과 없음
18:02:58 | TradingSystem | INFO | 🔬 115500 (케이씨에스) 분석 시작...
18:02:58 | TradingSystem | WARNING | ⚠️ 115500 데이터 수집 실패
18:02:58 | TradingSystem | INFO | ❌ 115500 분석 결과 없음
18:02:58 | TradingSystem | INFO | 🔬 108490 (로보티즈) 분석 시작...
