주문일자,체결일자,종목명,종목번호,매매구분,체결수량,체결단가,체결금액,주문번호,체결상태
20250922,143919,한국앤컴퍼니,000240,매수,0,0,0,0020955100,지정가
20250922,141007,지니언스,263860,매수,0,0,0,0020024900,지정가
20250922,125728,오킨스전자,080580,매수,0,0,0,0017493600,지정가
20250922,123713,한솔아이원스,114810,매도,0,0,0,0016988300,시장가
20250922,123658,스맥,099440,매도,0,0,0,0016983100,시장가
20250922,095415,아미코젠,092040,매수,0,0,0,0009823700,지정가
20250919,151325,초록뱀미디어,047820,매수,0,0,0,0022429400,지정가
20250919,115547,엑셈,205100,매수,0,0,0,0015386500,지정가
20250919,091714,에이아이코리아,364950,매수,0,0,0,0006388300,지정가
20250919,091153,일성건설,013360,매수,0,0,0,0005709600,지정가
20250919,091141,한솔아이원스,114810,매수,0,0,0,0005678900,지정가
20250919,091139,티피씨글로벌,130740,매수,0,0,0,0005673600,지정가
20250919,090726,ACE 삼성그룹동일가중,131890,매수,0,0,0,0005036000,지정가
20250919,090721,스맥,099440,매수,0,0,0,0005024000,지정가
20250919,090540,동방,004140,매수,0,0,0,0004728800,지정가
20250919,090528,티피씨글로벌,130740,매수,0,0,0,0004694000,지정가
20250919,090353,오리엔트정공,065500,매수,0,0,0,0004419500,지정가
20250919,090349,한국주강,025890,매수,0,0,0,0004410800,지정가
20250919,090209,KD,044180,매수,0,0,0,0004125600,지정가
20250919,090205,토탈소프트,045340,매수,0,0,0,0004113400,지정가
20250919,090201,스맥,099440,매수,0,0,0,0004102000,지정가
20250917,124635,모비데이즈,363260,매도,0,0,0,0015764300,시장가
20250902,114305,센서뷰,321370,매도,0,0,0,0012723500,시장가
20250902,114305,KD,044180,매도,0,0,0,0012723100,시장가
20250902,114304,동원금속,018500,매도,0,0,0,0012722900,시장가
20250902,114304,아진산업,013310,매도,0,0,0,0012722700,시장가
20250902,114304,대한광통신,010170,매도,0,0,0,0012722400,시장가
